week,date,lambda_smooth,ci_lower,ci_upper
2024-W18,2024-04-29,0.8605,0.0156,1.7053
2024-W19,2024-05-06,0.6392,-0.1365,1.4148
2024-W20,2024-05-13,-0.1409,-0.8358,0.5539
2024-W21,2024-05-20,-0.1954,-0.9217,0.5308
2024-W22,2024-05-27,0.2755,-0.5166,1.0675
2024-W23,2024-06-03,0.4821,-0.1119,1.0761
2024-W24,2024-06-10,0.8129,-0.0448,1.6707
2024-W25,2024-06-17,1.0267,0.161,1.8925
2024-W26,2024-06-24,1.1571,0.2132,2.101
2024-W27,2024-07-01,1.0639,0.0747,2.0531
2024-W28,2024-07-08,0.9294,0.1161,1.7426
2024-W29,2024-07-15,0.7043,-0.2116,1.6203
2024-W30,2024-07-22,0.5199,-0.425,1.4649
2024-W31,2024-07-29,0.1967,-0.5484,0.9418
2024-W32,2024-08-05,0.1916,-0.7463,1.1296
2024-W33,2024-08-12,0.0983,-0.8857,1.0823
2024-W34,2024-08-19,0.1124,-0.7772,1.002
2024-W35,2024-08-26,0.1549,-0.3087,0.6185
2024-W36,2024-09-02,0.0173,-0.6615,0.6961
2024-W37,2024-09-09,0.0849,-0.7212,0.8909
2024-W38,2024-09-16,0.0892,-0.9574,1.1359
2024-W39,2024-09-23,0.0802,-1.0194,1.1798
2024-W40,2024-09-30,0.1601,-0.9748,1.2951
2024-W41,2024-10-07,0.3225,-0.7433,1.3883
2024-W42,2024-10-14,0.4896,-0.5205,1.4996
2024-W43,2024-10-21,0.5158,-0.4411,1.4726
2024-W44,2024-10-28,0.4414,-0.3084,1.1911
2024-W45,2024-11-04,0.5636,0.2299,0.8973
2024-W46,2024-11-11,1.2569,0.7256,1.7883
2024-W47,2024-11-18,1.726,1.1002,2.3518
2024-W48,2024-11-25,1.5407,0.9686,2.1127
